Id,CanonicalItem,Aliases,CuFtS,CuFtM,CuFtL,WeightSLb,WeightMLb,WeightLLb,TwoPersonFlag,StackableFlag,StackableSavingsPct,FitsElevatorHint,BaseTimeSMin,BaseTimeMMin,BaseTimeLMin,DisassemblyAdderSMin,DisassemblyAdderMMin,DisassemblyAdderLMin,BulkyAdderSMin,BulkyAdderMMin,BulkyAdderLMin,HeavyAdderSMin,HeavyAdderMMin,HeavyAdderLMin,StairsAdderPerFlightSMin,StairsAdderPerFlightMMin,StairsAdderPerFlightLMin,ElevatorAdderPerRideSMin,ElevatorAdderPerRideMMin,ElevatorAdderPerRideLMin,UnloadMultiplierMainFloor,UnloadMultiplierElevator,UnloadMultiplierStairs,ClassificationLogicNotes,CreatedAt,UpdatedAt
167,Bed frame,twin; queen; king,10,18,28,40,90,140,S: maybe / M: yes / L: yes,No,0,Usually fits if disassembled,10,16,28,10,20,30,3,6,12,3,6,12,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,S: twin; M: full/queen; L: king/ornate,14:44.0,14:44.0
168,Patio chair,outdoor chair,5,8,10,15,20,25,S: no / M: no / L: no,Yes,50,Yes,2,3,4,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
169,Patio table,outdoor table,10,18,30,40,70,120,S: maybe / M: yes / L: yes,No,0,Maybe,5,9,14,0,0,0,2,4,6,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
170,BBQ grill,propane grill,10,18,28,70,120,180,S: maybe / M: yes / L: yes,No,0,Yes,6,10,16,0,0,0,2,4,8,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
171,Aquarium,40g; 75g; 125g,12,20,30,80,150,250,S: maybe / M: yes / L: yes,No,0,Maybe,10,16,24,0,0,0,0,0,0,4,8,12,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,Move empty; fragile,14:44.0,14:44.0
172,Hot tub,spa,120,160,220,600,800,1200,S: yes / M: yes / L: yes,No,0,No,40,60,90,0,0,0,0,0,0,20,30,40,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,Crane/flatbed often required,14:44.0,14:44.0
173,Piano (grand),baby grand; grand,80,110,140,600,800,1000,S: yes / M: yes / L: yes,No,0,No,30,45,70,15,25,35,0,0,0,15,25,35,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,"Requires board, padding, 3–4 movers",14:44.0,14:44.0
174,Piano (upright),spinet; console; studio,40,55,75,300,500,800,S: yes / M: yes / L: yes,No,0,Maybe,20,30,45,0,0,0,0,0,0,10,15,20,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,Stairs require extra planning,14:44.0,14:44.0
175,Pool table,7ft; 8ft; 9ft,60,90,120,600,750,900,S: yes / M: yes / L: yes,No,0,No (assembled),30,45,60,30,45,60,0,0,0,10,15,20,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,Specialty movers recommended,14:44.0,14:44.0
176,Power rack,squat rack,20,35,55,140,220,320,S: yes / M: yes / L: yes,No,0,No (assembled),12,18,26,8,12,20,0,0,0,4,8,12,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
177,Dumbbell set (pair),20lb; 35lb; 50lb,2,3,4,40,70,100,S: no / M: no / L: no,Yes,50,Yes,2,3,4,0,0,0,0,0,0,2,4,6,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,May be boxed per pair,14:44.0,14:44.0
