Id,CanonicalItem,Aliases,CuFtS,CuFtM,CuFtL,WeightSLb,WeightMLb,WeightLLb,TwoPersonFlag,StackableFlag,StackableSavingsPct,FitsElevatorHint,BaseTimeSMin,BaseTimeMMin,BaseTimeLMin,DisassemblyAdderSMin,DisassemblyAdderMMin,DisassemblyAdderLMin,BulkyAdderSMin,BulkyAdderMMin,BulkyAdderLMin,HeavyAdderSMin,HeavyAdderMMin,HeavyAdderLMin,StairsAdderPerFlightSMin,StairsAdderPerFlightMMin,StairsAdderPerFlightLMin,ElevatorAdderPerRideSMin,ElevatorAdderPerRideMMin,ElevatorAdderPerRideLMin,UnloadMultiplierMainFloor,UnloadMultiplierElevator,UnloadMultiplierStairs,ClassificationLogicNotes,CreatedAt,UpdatedAt
1,DefaultItem,default; default item; unknown; misc; miscellaneous item,5,8,12,15,35,60,No,No,0,Yes,3,4,5,0,0,0,0,0,0,0,0,0,1,1.5,2,0.5,0.5,0.5,0.85,0.95,1.05,,,
101,boxes & bags,boxes; bags; box; bag,3,5,8,10,25,45,No,Yes,30,Yes,2,3,4,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1001,mattress,mattress; foam mattress; spring mattress; queen mattress; king mattress; twin mattress,12,18,25,30,60,100,Maybe,No,0,Usually,3,4,6,0,0,0,1,1.5,2.5,0,0,0,1.5,2,3.5,0.5,1,1.5,0.9,1,1.1,,,
1002,bed,bed; bed set; full bed; queen bed; king bed; twin bed,18,28,40,50,90,140,Yes,No,0,If disassembled,4,6,9,4,6,8,1.5,3,4.5,0,0,2,2,3.5,5.5,1,1.5,2.5,0.95,1.05,1.15,,,
1003,bunk bed,bunk bed; bunkbed; bunk beds,40,70,100,120,180,260,Yes,No,0,If disassembled,8,14,20,10,16,24,5,9,12.5,3,4.5,6.5,5,8.5,12,2.5,4,6,1,1.1,1.2,,,
1004,crib,crib; baby crib; kids crib; toddler crib,12,18,25,35,55,80,Maybe,Yes,15,Yes,3,4,6,3,5,8,0,0.5,1,0,0,0,1,1.5,3,0.5,0.5,1,0.9,1,1.1,,,
1005,storage bed,storage bed; bed with storage,30,48,70,100,160,230,Yes,No,0,If disassembled,7,10,15,8,12,16,3.5,6,8.5,2,3.5,5,4,6,9,2,3,4.5,1,1.1,1.2,,,
1006,daybed,daybed; day bed; sofa bed frame,18,30,45,60,100,150,Yes,No,0,Usually,5,8,10,5,8,12,1.5,3.5,5,1,1.5,2.5,3,4.5,6,1.5,2,3,0.95,1.05,1.15,,,
1007,headboard,headboard; bed headboard,5,8,12,20,35,60,No,Yes,15,Yes,2,3,4,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1008,box spring,box spring; boxspring; foundation; bed foundation,10,15,20,20,40,70,Maybe,No,0,Usually,3,4,6,0,0,0,0,1,1.5,0,0,0,1.5,2,3,0.5,1,1,0.9,1,1.1,,,
1009,nightstand,nightstand; bedside table; bedside cabinet; side table,5,8,12,20,35,60,No,Yes,15,Yes,2,3,4,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
